dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,39.731150,16.774726,39.912574,110.999406,72.072177,-647.950469,0.161770
0.010000,40.832751,16.956837,41.029126,111.655262,65.585627,-648.654990,0.165892
0.010000,41.939419,17.144473,42.151588,112.246179,59.091706,-649.392176,0.170010
0.010000,43.050486,17.337562,43.279309,112.772081,52.590143,-650.156267,0.174122
0.010000,44.165288,17.536020,44.411638,113.232887,46.080653,-650.948956,0.178225
0.010000,45.283159,17.739753,45.547923,113.628518,39.563046,-651.760770,0.182315
0.010000,46.403437,17.948655,46.687512,113.958888,33.037026,-652.601977,0.186391
0.010000,47.525460,18.162607,47.829751,114.223913,26.502461,-653.456479,0.190449
0.010000,48.648566,18.381481,48.973986,114.423504,19.959130,-654.333103,0.194487
0.010000,49.772097,18.605137,50.119562,114.557573,13.406899,-655.223100,0.198502
0.010000,50.895395,18.833425,51.265822,114.626029,6.845603,-656.129590,0.202492
0.010000,52.018125,19.066251,52.412439,114.661735,3.570567,-327.503640,0.206456
0.010000,53.140278,19.303584,53.559415,114.697603,3.586856,1.628873,0.210393
0.010000,54.261843,19.545394,54.706752,114.733625,3.602133,1.527721,0.214303
0.010000,55.382811,19.791650,55.854449,114.769789,3.616434,1.430129,0.218186
0.010000,56.503171,20.042321,57.002510,114.806087,3.629828,1.339438,0.222042
0.010000,57.622915,20.297377,58.150935,114.842509,3.642194,1.236511,0.225871
0.010000,58.742034,20.556786,59.299726,114.879047,3.653742,1.154839,0.229674
0.010000,59.860519,20.820517,60.448883,114.915689,3.664292,1.055008,0.233448
0.010000,60.978361,21.088538,61.598407,114.952429,3.673999,0.970732,0.237196
0.010000,62.095552,21.360819,62.748300,114.989258,3.682837,0.883791,0.240916
0.010000,63.212084,21.637328,63.898561,115.026166,3.690799,0.796189,0.244609
0.010000,64.327950,21.918033,65.049193,115.063145,3.697915,0.711628,0.248275
0.010000,65.443143,22.202902,66.200195,115.100187,3.704230,0.631456,0.251913
0.010000,66.557655,22.491905,67.351567,115.137285,3.709747,0.551730,0.255523
0.010000,67.671480,22.785008,68.503312,115.174429,3.714469,0.472127,0.259106
0.010000,68.789247,23.083289,69.660194,115.688187,51.375730,4766.126161,0.261737
0.010000,69.950751,23.394309,70.862618,120.242417,455.423006,40404.727562,0.261557
0.010000,71.110512,23.704723,72.063202,120.058444,-18.397306,-47382.031176,0.261513
0.010000,72.268488,24.014691,73.261947,119.874477,-18.396645,0.066068,0.261607
0.010000,73.424637,24.324370,74.458852,119.690496,-18.398124,-0.147837,0.261836
0.010000,74.578917,24.633916,75.653917,119.506479,-18.401730,-0.360635,0.262203
0.010000,75.731283,24.943487,76.847141,119.322404,-18.407434,-0.570433,0.262706
0.010000,76.881695,25.253237,78.038523,119.138252,-18.415201,-0.776689,0.263346
0.010000,78.030108,25.563322,79.228063,118.954003,-18.424970,-0.976856,0.264122
0.010000,79.176480,25.873895,80.415760,118.769636,-18.436664,-1.169395,0.265036
0.010000,80.320765,26.185110,81.601611,118.585134,-18.450191,-1.352726,0.266086
0.010000,81.462920,26.497118,82.785616,118.400480,-18.465443,-1.525149,0.267274
0.010000,82.602900,26.810071,83.967772,118.215657,-18.482315,-1.687212,0.268599
0.010000,83.740660,27.124120,85.148079,118.030650,-18.500646,-1.833093,0.270061
0.010000,84.876152,27.439415,86.326533,117.845447,-18.520274,-1.962840,0.271661
0.010000,86.009332,27.756106,87.503134,117.660037,-18.541052,-2.077764,0.273398
0.010000,87.140151,28.074339,88.677878,117.474409,-18.562778,-2.172649,0.275273
0.010000,88.268560,28.394264,89.850763,117.288557,-18.585217,-2.243849,0.277286
0.010000,89.394512,28.716026,91.021788,117.102475,-18.608187,-2.297047,0.279438
0.010000,90.517957,29.039772,92.190950,116.916161,-18.631421,-2.323365,0.281727
0.010000,91.638764,29.365622,93.358163,116.721370,-19.479072,-84.765118,0.284155
0.010000,92.756484,29.693604,94.523010,116.484696,-23.667454,-418.838251,0.286721
0.010000,93.870426,30.023666,95.684823,116.181221,-30.347504,-668.004929,0.289422
0.010000,94.979907,30.355750,96.842936,115.811384,-36.983670,-663.616593,0.292258
0.010000,96.084248,30.689790,97.996693,115.375628,-43.575623,-659.195305,0.295225
0.010000,97.182779,31.025711,99.145437,114.874396,-50.123119,-654.749617,0.298321
0.010000,98.274833,31.363427,100.288518,114.308136,-56.626023,-650.290368,0.301543
0.010000,99.359752,31.702845,101.425291,113.677294,-63.084207,-645.818398,0.304889
0.010000,100.436883,32.043857,102.555114,112.982317,-69.497746,-641.353925,0.308354
0.010000,101.505581,32.386347,103.677351,112.223650,-75.866681,-636.893519,0.311934
0.010000,102.565209,32.730182,104.791368,111.401737,-82.191279,-632.459831,0.315625
0.010000,103.615137,33.075222,105.896538,110.517019,-88.471838,-628.055918,0.319423
0.010000,104.654743,33.421309,106.992238,109.569930,-94.708821,-623.698232,0.323323
0.010000,105.683414,33.768272,108.077847,108.560902,-100.902803,-619.398237,0.327319
0.010000,106.700544,34.115928,109.152750,107.490357,-107.054496,-615.169260,0.331407
0.010000,107.705536,34.464078,110.216337,106.358710,-113.164742,-611.024592,0.335579
0.010000,108.697803,34.812508,111.268001,105.166365,-119.234549,-606.980698,0.339831
0.010000,109.676765,35.160988,112.307138,103.913714,-125.265032,-603.048331,0.344155
0.010000,110.641854,35.509274,113.333149,102.601139,-131.257488,-599.245616,0.348544
0.010000,111.592508,35.857108,114.345439,101.229006,-137.213331,-595.584298,0.352993
0.010000,112.528176,36.204214,115.343416,99.797665,-143.134135,-592.080429,0.357494
0.010000,113.448316,36.550302,116.326491,98.307449,-149.021600,-588.746497,0.362038
0.010000,114.352397,36.895067,117.294077,96.758673,-154.877586,-585.598578,0.366619
0.010000,115.239894,37.238187,118.245594,95.151633,-160.704031,-582.644527,0.371229
0.010000,116.110295,37.579328,119.180460,93.486602,-166.503047,-579.901512,0.375858
0.010000,116.963094,37.918140,120.098098,91.763834,-172.276835,-577.378857,0.380500
0.010000,117.797796,38.254259,120.997934,89.983557,-178.027672,-575.083712,0.385145
0.010000,118.613916,38.587306,121.879393,88.145978,-183.757926,-573.025413,0.389786
0.010000,119.410974,38.916891,122.741906,86.251277,-189.470109,-571.218230,0.394412
0.010000,120.188575,39.242641,123.584981,84.307506,-194.377032,-490.692374,0.399015
0.010000,120.946623,39.564298,124.408449,82.346824,-196.068245,-169.121283,0.403590
0.010000,121.685249,39.881693,125.212382,80.393303,-195.352132,71.611368,0.408130
0.010000,122.404583,40.194658,125.996850,78.446750,-194.655250,69.688144,0.412630
0.010000,123.104757,40.503023,126.761920,76.506969,-193.978107,67.714327,0.417086
0.010000,123.785899,40.806618,127.507657,74.573762,-193.320739,65.736737,0.421492
0.010000,124.448141,41.105271,128.234127,72.646926,-192.683540,63.719921,0.425843
0.010000,125.091611,41.398812,128.941389,70.726261,-192.066561,61.697965,0.430136
0.010000,125.716439,41.687072,129.629505,68.811561,-191.469968,59.659272,0.434366
0.010000,126.322751,41.969881,130.298531,66.902623,-190.893803,57.616491,0.438527
0.010000,126.910675,42.247073,130.948523,64.999242,-190.338044,55.575862,0.442617
0.010000,127.480336,42.518481,131.579536,63.101215,-189.802779,53.526498,0.446632
0.010000,128.031858,42.783942,132.191619,61.208337,-189.287812,51.496734,0.450567
0.010000,128.565363,43.043294,132.784823,59.320405,-188.793128,49.468405,0.454418
0.010000,129.080971,43.296379,133.359195,57.437220,-188.318483,47.464497,0.458183
0.010000,129.578801,43.543039,133.914781,55.558583,-187.863783,45.470042,0.461858
0.010000,130.058968,43.783122,134.451624,53.684295,-187.428733,43.504990,0.465440
0.010000,130.521587,44.016477,134.969766,51.814164,-187.013147,41.558563,0.468925
0.010000,130.966768,44.242959,135.469246,49.947998,-186.616549,39.659838,0.472310
0.010000,131.394621,44.462424,135.950102,48.085609,-186.238968,37.758048,0.475594
0.010000,131.805250,44.674733,136.412370,46.226811,-185.879748,35.922023,0.478772
0.010000,132.198760,44.879751,136.856084,44.371425,-185.538598,34.114945,0.481844
0.010000,132.575249,45.077349,137.281277,42.519272,-185.215317,32.328148,0.484805
0.010000,132.934815,45.267398,137.687979,40.670179,-184.909287,30.602984,0.487655
0.010000,133.277550,45.449779,138.076218,38.823975,-184.620363,28.892418,0.490390
0.010000,133.603545,45.624372,138.446023,36.980496,-184.347946,27.241747,0.493009
0.010000,133.912886,45.791067,138.797419,35.139581,-184.091531,25.641408,0.495510
0.010000,134.205656,45.949756,139.130430,33.301070,-183.851112,24.041957,0.497891
0.010000,134.481933,46.100336,139.445078,31.464811,-183.625812,22.529944,0.500151
0.010000,134.741793,46.242709,139.741384,29.630655,-183.415648,21.016444,0.502287
0.010000,134.985307,46.376785,140.019369,27.798456,-183.219890,19.575779,0.504299
0.010000,135.212611,46.502512,140.279127,25.975799,-182.265736,95.415419,0.506185
0.010000,135.424107,46.620002,140.521066,24.193932,-178.186722,407.901430,0.507948
0.010000,135.620404,46.729484,140.745830,22.476353,-171.757841,642.888079,0.509590
0.010000,135.802098,46.831201,140.954059,20.822877,-165.347650,641.019043,0.511116
0.010000,135.969785,46.925400,141.146392,19.233338,-158.953882,639.376882,0.512529
0.010000,136.124051,47.012335,141.323468,17.707581,-152.575652,637.822958,0.513832
0.010000,136.265480,47.092269,141.485922,16.245469,-146.211252,636.439975,0.515031
0.010000,136.394648,47.165470,141.634391,14.846874,-139.859460,635.179272,0.516128
0.010000,136.512131,47.232211,141.769508,13.511683,-133.519109,634.035069,0.517129
0.010000,136.618497,47.292771,141.891906,12.239791,-127.189172,632.993684,0.518036
0.010000,136.714312,47.347434,142.002217,11.031109,-120.868194,632.097786,0.518856
0.010000,136.800139,47.396487,142.101073,9.885550,-114.555926,631.226782,0.519591
0.010000,136.876537,47.440221,142.189103,8.803042,-108.250851,630.507509,0.520246
0.010000,136.944063,47.478932,142.266938,7.783520,-101.952183,629.866815,0.520826
0.010000,137.003272,47.512917,142.335207,6.826925,-95.659456,629.272756,0.521335
0.010000,137.054716,47.542479,142.394539,5.933206,-89.371896,628.755986,0.521778
0.010000,137.098944,47.567918,142.445563,5.102322,-83.088424,628.347141,0.522159
0.010000,137.136508,47.589541,142.488905,4.334233,-76.808945,627.947897,0.522483
0.010000,137.167953,47.607655,142.525194,3.628906,-70.532630,627.631513,0.522754
0.010000,137.193826,47.622568,142.555057,2.986315,-64.259095,627.353535,0.522977
0.010000,137.214673,47.634589,142.579122,2.406439,-57.987585,627.150997,0.523157
0.010000,137.231038,47.644029,142.598014,1.889259,-51.718046,626.953904,0.523299
0.010000,137.243465,47.651200,142.612362,1.434760,-45.449948,626.809737,0.523406
0.010000,137.252498,47.656413,142.622791,1.042930,-39.182906,626.704204,0.523484
0.010000,137.258679,47.659981,142.629929,0.713763,-32.916796,626.611013,0.523538
0.010000,137.262553,47.662217,142.634401,0.447250,-26.651226,626.557016,0.523571
0.010000,137.264661,47.663434,142.636835,0.243391,-20.385915,626.531159,0.523589
0.010000,137.265545,47.663945,142.637857,0.102181,-14.121019,626.489544,0.523597
0.010000,137.265750,47.664063,142.638093,0.023619,-7.856199,626.482023,0.523599
0.010000,137.265750,47.664063,142.638093,0.000000,-2.361892,549.430665,0.523599
