dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,41.665166,-10.192851,41.835645,120.575636,87.389176,-732.673515,0.153528
0.010000,42.864268,-10.004763,43.049408,121.376324,80.068858,-732.031779,0.157648
0.010000,44.069767,-9.810578,44.270447,122.103877,72.755273,-731.358517,0.161770
0.010000,45.280912,-9.610358,45.498031,122.758365,65.448770,-730.650245,0.165892
0.010000,46.496956,-9.404177,46.731429,123.339861,58.149621,-729.914898,0.170010
0.010000,47.717151,-9.192124,47.969914,123.848442,50.858122,-729.149895,0.174122
0.010000,48.940755,-8.974296,49.212756,124.284187,43.574512,-728.361080,0.178225
0.010000,50.167028,-8.750807,50.459228,124.647178,36.299089,-727.542247,0.182315
0.010000,51.395232,-8.521781,51.708603,124.937498,29.031999,-726.709049,0.186391
0.010000,52.624633,-8.287354,52.960155,125.155233,21.773515,-725.848365,0.190449
0.010000,53.854501,-8.047674,54.213160,125.300471,14.523769,-724.974557,0.194487
0.010000,55.084107,-7.802901,55.466893,125.373300,7.282941,-724.082825,0.198502
0.010000,56.312730,-7.553209,56.720631,125.373812,0.051127,-723.181460,0.202492
0.010000,57.540000,-7.298704,57.974012,125.338108,-3.570365,-362.149200,0.206456
0.010000,58.765904,-7.039428,59.227034,125.302242,-3.586624,-1.625839,0.210393
0.010000,59.990429,-6.775420,60.479696,125.266223,-3.601921,-1.529763,0.214303
0.010000,61.213564,-6.506720,61.731997,125.230060,-3.616251,-1.432996,0.218186
0.010000,62.435295,-6.233369,62.983935,125.193764,-3.629571,-1.331986,0.222042
0.010000,63.655611,-5.955405,64.235508,125.157344,-3.642048,-1.247678,0.225871
0.010000,64.874502,-5.672869,65.486716,125.120809,-3.653484,-1.143620,0.229674
0.010000,66.091957,-5.385802,66.737558,125.084168,-3.664113,-1.062843,0.233448
0.010000,67.307967,-5.094243,67.988032,125.047430,-3.673799,-0.968659,0.237196
0.010000,68.522522,-4.798233,69.238138,125.010604,-3.682609,-0.880976,0.240916
0.010000,69.735613,-4.497812,70.487875,124.973698,-3.690585,-0.797642,0.244609
0.010000,70.947231,-4.193020,71.737242,124.936721,-3.697732,-0.714671,0.248275
0.010000,72.157370,-3.883897,72.986239,124.899680,-3.704038,-0.630637,0.251913
0.010000,73.366022,-3.570484,74.234865,124.862585,-3.709537,-0.549852,0.255523
0.010000,74.573179,-3.252820,75.483119,124.825442,-3.714264,-0.472684,0.259106
0.010000,75.759427,-2.936291,76.710871,122.775195,-205.024740,-20131.047608,0.261737
0.010000,76.916247,-2.626525,77.908447,119.757583,-301.761200,-9673.646015,0.261557
0.010000,78.074879,-2.316413,79.107863,119.941556,18.397338,32015.853779,0.261513
0.010000,79.235281,-2.005796,80.309118,120.125523,18.396639,-0.069862,0.261607
0.010000,80.397409,-1.694516,81.512213,120.309503,18.398079,0.143975,0.261836
0.010000,81.561222,-1.382413,82.717148,120.493520,18.401646,0.356765,0.262203
0.010000,82.726677,-1.069326,83.923924,120.677593,18.407319,0.567245,0.262706
0.010000,83.893731,-0.755094,85.132542,120.861744,18.415047,0.772776,0.263346
0.010000,85.062340,-0.439556,86.343002,121.045991,18.424774,0.972728,0.264122
0.010000,86.232463,-0.122548,87.555305,121.230356,18.436428,1.165437,0.265036
0.010000,87.404053,0.196093,88.769454,121.414855,18.449921,1.349257,0.266086
0.010000,88.577068,0.516531,89.985449,121.599506,18.465147,1.522635,0.267274
0.010000,89.751461,0.838932,91.203292,121.784326,18.481964,1.681666,0.268599
0.010000,90.927187,1.163462,92.422985,121.969328,18.500253,1.828948,0.270061
0.010000,92.104200,1.490286,93.644531,122.154527,18.519864,1.961041,0.271661
0.010000,93.282451,1.819573,94.867930,122.339933,18.540595,2.073103,0.273398
0.010000,94.461892,2.151491,96.093185,122.525556,18.562265,2.166999,0.275273
0.010000,95.642474,2.486208,97.320299,122.711403,18.584695,2.242977,0.277286
0.010000,96.824146,2.823894,98.549274,122.897479,18.607609,2.291479,0.279438
0.010000,98.006855,3.164718,99.780112,123.083787,18.630790,2.318081,0.281727
0.010000,99.190464,3.508828,101.012728,123.261607,17.782006,-84.878372,0.284155
0.010000,100.374494,3.856269,102.246682,123.395380,13.377312,-440.469456,0.286721
0.010000,101.558205,4.207004,103.481262,123.458023,6.264271,-711.304088,0.289422
0.010000,102.740856,4.560990,104.715753,123.449096,-0.892697,-715.696837,0.292258
0.010000,103.921699,4.918171,105.949435,123.368157,-8.093869,-720.117140,0.295225
0.010000,105.099988,5.278482,107.181582,123.214762,-15.339472,-724.560351,0.298321
0.010000,106.274970,5.641845,108.411467,122.988465,-22.629699,-729.022719,0.301543
0.010000,107.445893,6.008171,109.638355,122.688819,-29.964580,-733.488093,0.304889
0.010000,108.612002,6.377354,110.861509,122.315378,-37.344175,-737.959471,0.308354
0.010000,109.772539,6.749276,112.080186,121.867695,-44.768302,-742.412696,0.311934
0.010000,110.926748,7.123803,113.293639,121.345327,-52.236803,-746.850091,0.315625
0.010000,112.073870,7.500785,114.501118,120.747833,-59.749315,-751.251229,0.319423
0.010000,113.213146,7.880053,115.701865,120.074779,-67.305402,-755.608686,0.323323
0.010000,114.343819,8.261423,116.895123,119.325735,-74.904485,-759.908288,0.327319
0.010000,115.465130,8.644690,118.080125,118.500276,-82.545852,-764.136687,0.331407
0.010000,116.576322,9.029631,119.256105,117.597990,-90.228647,-768.279499,0.335579
0.010000,117.676642,9.416004,120.422290,116.618471,-97.951898,-772.325084,0.339831
0.010000,118.765335,9.803546,121.577903,115.561326,-105.714448,-776.254988,0.344155
0.010000,119.841652,10.191975,122.722165,114.426176,-113.515034,-780.058690,0.348544
0.010000,120.904845,10.580987,123.854292,113.212654,-121.352221,-783.718695,0.352993
0.010000,121.954172,10.970258,124.973496,111.920409,-129.224448,-787.222698,0.357494
0.010000,122.988892,11.359443,126.078987,110.549109,-137.130000,-790.555174,0.362038
0.010000,124.008270,11.748177,127.169971,109.098438,-145.067057,-793.705713,0.366619
0.010000,125.011578,12.136073,128.245652,107.568102,-153.033618,-796.656090,0.371229
0.010000,125.998091,12.522723,129.305230,105.957826,-161.027621,-799.400313,0.375858
0.010000,126.967090,12.907702,130.347904,104.267357,-169.046878,-801.925658,0.380500
0.010000,127.917864,13.290561,131.372869,102.496467,-177.089070,-804.219255,0.385145
0.010000,128.849708,13.670835,132.379318,100.644949,-185.151804,-806.273320,0.389786
0.010000,129.761922,14.048039,133.366444,98.712622,-193.232690,-808.088592,0.394412
0.010000,130.653901,14.421704,134.333528,96.708398,-200.422341,-718.965186,0.399015
0.010000,131.525382,14.791494,135.280219,94.669087,-203.931165,-350.882394,0.403590
0.010000,132.376367,15.157171,136.206445,92.622613,-204.647355,-71.618970,0.408130
0.010000,133.206860,15.518500,137.112137,90.569172,-205.344103,-69.674817,0.412630
0.010000,134.016872,15.875240,137.997227,88.508959,-206.021349,-67.724593,0.417086
0.010000,134.806418,16.227152,138.861648,86.442173,-206.678589,-65.724011,0.421492
0.010000,135.575517,16.573995,139.705339,84.369014,-207.315829,-63.724017,0.425843
0.010000,136.324191,16.915530,140.528235,82.289686,-207.932783,-61.695368,0.430136
0.010000,137.052469,17.251516,141.330279,80.204392,-208.529400,-59.661719,0.434366
0.010000,137.760380,17.581715,142.111413,78.113337,-209.105586,-57.618590,0.438527
0.010000,138.447958,17.905892,142.871580,76.016724,-209.661274,-55.568744,0.442617
0.010000,139.115241,18.223811,143.610727,73.914758,-210.196621,-53.534775,0.446632
0.010000,139.762268,18.535242,144.328804,71.807642,-210.711552,-51.493103,0.450567
0.010000,140.389083,18.839955,145.025760,69.695579,-211.206294,-49.474134,0.454418
0.010000,140.995731,19.137726,145.701547,67.578770,-211.680890,-47.459637,0.458183
0.010000,141.582258,19.428334,146.356122,65.457414,-212.135644,-45.475384,0.461858
0.010000,142.148715,19.711562,146.989439,63.331707,-212.570700,-43.505572,0.465440
0.010000,142.695150,19.987196,147.601457,61.201843,-212.986399,-41.569928,0.468925
0.010000,143.221617,20.255032,148.192137,59.068015,-213.382804,-39.640513,0.472310
0.010000,143.728168,20.514865,148.761441,56.930409,-213.760635,-37.783054,0.475594
0.010000,144.214857,20.766499,149.309333,54.789210,-214.119847,-35.921254,0.478772
0.010000,144.681737,21.009744,149.835779,52.644601,-214.460876,-34.102919,0.481844
0.010000,145.128863,21.244415,150.340747,50.496758,-214.784297,-32.342052,0.484805
0.010000,145.556290,21.470333,150.824206,48.345856,-215.090222,-30.592528,0.487655
0.010000,145.964070,21.687326,151.286126,46.192063,-215.379346,-28.912420,0.490390
0.010000,146.352258,21.895228,151.726482,44.035544,-215.651841,-27.249472,0.493009
0.010000,146.720905,22.093881,152.145246,41.876464,-215.907999,-25.615840,0.495510
0.010000,147.070063,22.283134,152.542396,39.714977,-216.148706,-24.070686,0.497891
0.010000,147.399782,22.462841,152.917908,37.551239,-216.373811,-22.510473,0.500151
0.010000,147.710111,22.632866,153.271762,35.385397,-216.584213,-21.040177,0.502287
0.010000,148.001097,22.793079,153.603938,33.217598,-216.779908,-19.569546,0.504299
0.010000,148.272866,22.943401,153.914511,31.057223,-216.037510,74.239783,0.506185
0.010000,148.525869,23.083948,154.203930,28.941984,-211.523913,451.359710,0.507948
0.010000,148.760802,23.214980,154.472934,26.900391,-204.159294,736.461886,0.509590
0.010000,148.978357,23.336773,154.722261,24.932623,-196.776784,738.251000,0.511116
0.010000,149.179222,23.449609,154.952649,23.038852,-189.377113,739.967172,0.512529
0.010000,149.364081,23.553785,155.164841,21.219227,-181.962450,741.466305,0.513832
0.010000,149.533616,23.649604,155.359580,19.473889,-174.533768,742.868165,0.515031
0.010000,149.688503,23.737380,155.537610,17.802965,-167.092426,744.134177,0.516128
0.010000,149.829417,23.817433,155.699676,16.206569,-159.639666,745.276039,0.517129
0.010000,149.957031,23.890090,155.846524,14.684801,-152.176716,746.294975,0.518036
0.010000,150.072013,23.955687,155.978901,13.237760,-144.704127,747.258870,0.518856
0.010000,150.175030,24.014565,156.097556,11.865523,-137.223739,748.038808,0.519591
0.010000,150.266747,24.067068,156.203238,10.568166,-129.735720,748.801911,0.520246
0.010000,150.347826,24.113549,156.296696,9.345756,-122.240974,749.474581,0.520826
0.010000,150.418929,24.154362,156.378679,8.198349,-114.740656,750.031879,0.521335
0.010000,150.480714,24.189866,156.449939,7.125995,-107.235422,750.523378,0.521778
0.010000,150.533841,24.220423,156.511226,6.128741,-99.725441,750.998085,0.522159
0.010000,150.578965,24.246398,156.563293,5.206621,-92.211945,751.349581,0.522483
0.010000,150.616742,24.268160,156.606889,4.359669,-84.695175,751.677056,0.522754
0.010000,150.647827,24.286076,156.642768,3.587911,-77.175795,751.937924,0.522977
0.010000,150.672875,24.300520,156.671682,2.891372,-69.653924,752.187137,0.523157
0.010000,150.692538,24.311863,156.694383,2.270068,-62.130416,752.350772,0.523299
0.010000,150.707471,24.320479,156.711623,1.724013,-54.605458,752.495801,0.523406
0.010000,150.718325,24.326744,156.724155,1.253220,-47.079310,752.614786,0.523484
0.010000,150.725753,24.331032,156.732732,0.857696,-39.552453,752.685714,0.523538
0.010000,150.730408,24.333719,156.738107,0.537446,-32.024950,752.750307,0.523571
0.010000,150.732941,24.335181,156.741031,0.292477,-24.496904,752.804659,0.523589
0.010000,150.734004,24.335795,156.742259,0.122789,-16.968850,752.805330,0.523597
0.010000,150.734250,24.335937,156.742543,0.028382,-9.440635,752.821502,0.523599
0.010000,150.734250,24.335937,156.742543,0.000000,-2.838243,660.239263,0.523599
